text_cleaned,Loại BDS,Hướng nhà,Pháp lý,Nội thất,Vị trí so với biển,Tình trạng dân cư xung quanh,Hình dáng nhà,Khu vực để xe,Loại hẻm,Phong thủy,Quận/Huyện,Sân thượng/ Ban công,Khả năng thoát nước,Vị trí,Vỉa hè,Giá,Diện tích,Kích thước,Số phòng ngủ,Số toilet,Số tầng,Đường trước nhà
"cần tiền bán gấp 2 lô hòa liên, hòa vang, đà nẵng 1. hòa liên 3, đường 7.5m, diện tích 128m2, , view kênh thoáng mát, giá 1.5 tỷ 2. trục chính dt601 nối ba xã hòa sơn hòa liên hòa bắc, đường 10.5m, diện tích 123m2, giá 2,02 tỷ đầy đủ trường chợ trong bán kính 1km, thích hợp với những bạn làm việc ở khu công nghiệp hòa khánh, khu công nghệ cao đà nẵng hoặc cảng liên chiểu,...",đất,,,,,,,,,,quận liên chiểu,,,,,giá 1.5 tỷ 2. tr,diện tích 128m2,,,,,đường 7.5m
"góc bán nhà giúp khách hàng để gửi tiết kiệm. nhờ anh em dịch vụ chạy hàng giúp để trọn 50 triệu hoa hồng bán nhà xây mới nhà 3 tầng kiệt 572/105b ông ích khiêm, quận hải châu. kiệt thông kiệt 82 nguyễn văn linh. cách chợ nam dương chỉ 50m. diện tích sử dụng 130m2, dt đất 50m2 ngang 4m. nhà 02 ô giếng trời lấy sáng và gió cả ngày công năng 03 phòng ngủ phòng khách phòng bếp sân phơi sân thượng rộng thiết bị điện tử, thiết bị vệ sinh, khoá từ vân tay hiện đại theo tiêu chuẩn resort 5 bàn giao đầy đủ nội thất như hình giá bán 3,3 tỷ có thương lượng",nhà,,,Nội thất đầy đủ,,,,,hẻm thông,,quận hải châu,có,,kiệt,,"giá bán 3,3 tỷ",dt đất 50m2,ngang 4m,03 phòng ngủ,,3 tầng,
giá 3ty450 còn bớt gia chủ cần bán nhanh nên đưa giá chuẩn cho khách hàng.mong gặp được khách thiện chí chính chủ gỡi bán nhà 2 tầng bầu năng sát lý thái tông dt 90m2.ngang 5m công năng 3 phòng ngủ.2 wc. nhà rộng rãi thoáng mát.mua về có thể sơn lại là ok.khu dân trí cao toàn là nhà cao tầng liên hệ nhanh để xem nhà.. ( nằm chủ ),,,Chính chủ,,,,,có,,,,,,,,giá 3ty450,dt 90m2,ngang 5m,3 phòng ngủ,2 wc,2 tầng,
"lô đất đường nguyễn án, thông dài gần nam kỳ khởi nghĩa rẽ vào chỉ 1 tỷ 7 x x đường quy hoạch 5m5 lề 3m.. bến xe đức long. thuận tiện giao thông ngay ngã tư nam kỳ khởi nghĩa và ql 1a. đã có sổ đỏ, pháp lý rõ ràng. ngân hàng hỗ trợ vay đến 60 . thích hợp an cư, đầu tư,... . liên hệ để xem đất.",đất,,Sổ đỏ,,,,,có,,,,,,,có,,,,,,,
"nhà kiệt 53 đường 2/9, thông kiệt 7m trương chí cương (cách đường trương chí cương 100m), trung tâm thành phố, hộ khẩu quận hải châu. đang sử dụng tốt, khu cân cư đông đúc, gần các tiện ích trường học, chợ, an ninh trật tự đảm bảo. diện tích đất 81.7m2 diện tích sử dụng 93.5m2 hướng tây nam liên hệ chính chủ làm việc (không qua trung gian, dịch vụ)",nhà,hướng tây nam,Chính chủ,,,,,,,,quận hải châu,,,kiệt,,,diện tích đất 81.7m2,,,,,
"chuyển công tác bán nhà núi thành , hòa cường bắc, hải châu, đà nẵng gần trường cấp 2 tây sơn căn góc 2 mặt thoáng , đường núi thành kinh doanh buôn bán sầm uất nhà kiên cố 3 tầng, 3pn, 2wc, phòng khách, phòng thờ rộng giá nhỉnh 2 tỷ, 20m thông ra đường núi thành diện tích sử dụng 120m2 anh chị nhắn tin chưa thấy e trả lời vui lòng gọi cho e nhé",nhà,,,,,đông đúc,,,,,quận hải châu,,,,,giá nhỉnh 2 tỷ,diện tích sử dụng 120m2,,3pn,2wc,3 tầng,
"tôi chính chủ cần bán nhà 3 tầng sát biển. diện tích sd 176m2. đất 4.5 x 18.1 cách biển vài bước chân. nhà 3 tầng 3pn, 2wc, sân xe hơi, bếp, pk, phòng thờ. thương lượng giao dịch chính chủ.",nhà,,Chính chủ,,gần biển,,,có,,,,,,,,,diện tích sd 176m2,4.5 x 18.1,3pn,2wc,3 tầng,
nhà 2 tầng 2 mê mặc tiền lý đạo thànhđường 7m5 lề 3m vị trí kinh doanh công năng 2p ngủ 2wc diện tích 53m (ngang 4m4)hướng tây bắc giá 4ty x x thuong luọng,nhà,hướng tây bắc,,,,,,,,,,,,,có,giá 4ty x x t,diện tích 53m,(ngang 4m,2p ngủ,2wc,2 tầng,đường 7m5
"bán đất đẹp đường nguyễn duy cung , kề lô góc, khu đông trà,làng đại học ngũ hành sơn. diện tích đất 85m2 (5 17), hướng nam, đường 5m5. vị trí đẹp, gần lô góc nguyễn dục, tiện ích, ngay khu làng đại học, cách bãi tắm tân trà chỉ 2km, gần võ chí công, khu vực dân cư, dân trí,.. giá bán đến công chứng 2,2 tỷ(giá có tl) liên hệ call/zalo thủy",đất,hướng nam,,,gần biển,,,,,,quận ngũ hành sơn,,,,,"giá bán đến công chứng 2,2 tỷ",diện tích đất 85m2,(5 17),,,,đường 5m5
"chị nặng ngân hàng. cần bán căn nhà tâm huyết. mặt tiền đường lớn, khu bá tùng, ngũ hành sơn. vị trí kinh doanh tốt. tiện ích bạt ngàn. chủ nhiệt bán. khách yêu có nhu cầu, thiện chí gọi em, xem nhà, chốt giá cực tốt.",,,,,,,,,,,quận ngũ hành sơn,,,mặt tiền,,,,,,,,
"chủ nhà lớn tuổi muốn nghỉ ngơi,cần bán bớt tài sản để chia cho con cháu. đặc điểm nhà 3 tầng,nằm ngay vị trí lô góc. khả năng kinh doanh cực tốt. tuyến phố hoàng diệu nổi tiếng với rất nhiều nghành nghề kinh doanh,gần như không bỏ phí bất cứ 1 khoảng không gian nào. hiện trạng nhà đã qua sử dụng trên 10 năm nên không có mô tả gì nhiều. một cơ hội vàng để nhà đầu tư sở hữu vị trí vàng ngay trung tâm hải châu với dòng tiền sẵn có. hãy liên hệ ngay mr nhuận để xem nhà và đàm phán chính chủ. tư vấn mua nhà miễn phí với kho hàng hơn 5000 sản phẩm đa dạng.",nhà,,Chính chủ,,,,,có,,,quận hải châu,,,,,,,,,,3 tầng,
"nhà đẹp, trung tâm quận liên chiểu, gần chợ hoà khánh, trường đại học bách khoa, dh sư phạm, gần biển, nhà ở làm ăn rất thuận lợi, chuyển trụ sở công ty, mua nhà mới to hơn, nhượng lại cho anh chị nào cần. cảm ơn",nhà,,,,gần biển,,,,,,quận liên chiểu,,,,,,,,,,,
"lãi suất đã hạ nhiệt, ngân hàng nhà nước bơm mạnh tiền ra nền kinh tế từ đây đến cuối năm tín hiệu hồi phục bđs đang rất rõ nét. thông tin căn nhà cần bán mình chính chủ, cần bán nhà đường k574 trưng nữ vương, diện tích 100m2, phù hợp xây căn hộ cho thuê (do xung quanh đã có sẵn thị phần). kiệt chuẩn lộ giới 3.5m, thẳng tắp từ đầu tới cuối hẻm. nhà cấp 4, 2 phòng ngủ, đang cho thuê 6 triệu/1 tháng. tìm đâu ra trung tâm thành phố, ngay sân bay quốc tế, 100m2, mà chỉ có 3.2 tỉ quá rẻ như này. không có hẻm nào (đã khảo sát kỹ nát khu vực) có lô đất như của em, có thì em sẽ bán bằng giá người ta cho anh chị. nếu mua thì sẽ được hỗ trợ vay bank big4, lãi suất ưu đãi. hồ sơ có sẵn, rút ra nhập vào liền ngay. hỗ trợ giảm 2 thuế thu nhập cá nhân khi mua. khách hà nội hay sài gòn nhìn vào rất thích mảnh đất. nhà gần ủy ban nhân dân, công an phường, xung quanh đường giang văn minh, nguyễn thành hãn là tướng tá quân đội, an ninh tuyệt đối, dân trí cực cao.",,,Chính chủ,,,,,,,,,,,kiệt,,,diện tích 100m2,,2 phòng ngủ,,,
"siêu phẩm độc của thị trường nhà đất đà nẵng chỉ nhỉnh 1 tỷ .bạn đã có ngay căn nhà gần đường hoàng diệu trung tâm thành phố đà nẵng. vị trí đắc địa, nằm ngay trung tâm thành phố, tiện ích xung quanh đầy đủ. gần trung tâm hành chính đà nẵng, sân bay, sông hàn,... sổ đỏ chính chủ, sang tên trong vòng 1 nốt nhạc.",,,Sổ đỏ,,,,,,,,,,,,,,,,,,,
"bán nhà 1,33 tỷ, sát chân cầu rồng. nhà 2 tầng kiên cố mới xây, công năng đầy đủ. nhìn là mê. 2 pn, 1wc. nằm trên đường nguyễn văn linh, sát chân cầu rồng. nhà có lộc, chủ nhà là giáo viên, làm ăn phơi phới. gần trung tâm hành chính đà nẵng, cầu rồng, trường học,... xung quanh tiện ích đầy đủ.",nhà,,,,,,,,,,,,,,,,,,2 pn,1wc,2 tầng,
bán nhà 3 tầng 3 mê kiệt ô.tô 5m điện biên phủ. công năng phòng khách. sân xe. 3 phòng ngủ. 3 toilet. bếp. phòng thờ rộng. sân thượng thiết kế liên kết với sân chill cùng vui chơi bên gia đình nhỏ. đặt biệt nhà thiết kế theo phong cách kiểu âu với gam màu đen trắng xám rất ấm áp. để lại toàn bộ nội thất như hình. diện tích đất 54m2 x 3 tầng. hướng nam ( đông tứ trạch ) giá 4 tỷ 190 triệu ( thương lượng với chủ ) liên hệ,nhà,hướng nam,,Nội thất đầy đủ,gần biển,,,có,,,,có,,kiệt,,giá 4 tỷ 190 triệu,diện tích đất 54m2,,3 phòng ngủ,3 toilet,3 tầng,
sụp hầm. nhà chính chủ đang ở. xây rất kiên cố. nhà đẹp. bây h kiếm đâu ra nhà 2 tầng .dtđ tới 70m kiệt oto 4m5. cách đường chính 20m thẳng 1 đường mà có giá chỉ 3t550 vị trí kiệt oto thẳng thông ra đường 2/9 . gần đường. nên kinh doanh quá ok công năng 2 pn rộng rãi. phòng khách . phòng ăn. ngang 4m dt 62m,nhà,,Chính chủ,,,,,,hẻm ô tô,,,,,kiệt,,giá chỉ 3t550,dtđ tới 70m,ngang 4m,2 pn,,2 tầng,
"bán toà nhà hai mặt tiền đống đa,lý tự trọng phường thạch thang, quận hải châu, thành phố đà nẵng. diện tích đất 240m2. diện tích sử dụng 2300m2. hướng tây nam. tòa nhà 10 tầng, đang có hợp đồng thuê 170 triệu/tháng. tòa nhà xây dựng chắc chắn, móng có thể nâng lên 16 tầng. đang kinh doanh khách sạn 3 sao, 50 phòng, tuy nhiên có thể chuyển đổi công năng thành, phòng khám, bệnh viện, cà phê karaoke, mat x a, tùy nhu cầu của khách hàng có thể chuyển giao hợp đồng thuê, hoặc kết thúc hợp đồng thuê, tùy theo nhu cầu của người mua. giá bán 72 tỷ, thương lượng. liên hệ làm việc chính chủ. có hoa hồng 1 cho người giới thiệu",nhà,hướng tây nam,Chính chủ,,,,,,,,quận hải châu,,,mặt tiền,,giá bán 72 tỷ,diện tích đất 240m2,,,,10 tầng,
"bán nhà mặt tiền nguyễn xí khu hòa minh, gần lý thái tông, hướng đông bắc, cách biển nguyễn tất thành chỉ 300m. dtđ 125m2, nhà 4 tầng, 3pn, 3 toilet, 1 phòng sinh hoạt chung, một phòng kho. dt x d 80m2, dtsd 264m2, sân vườn phía trước rất đẹp, có hồ cá, hòn non bộ. đường 7.5m, lề 5m, xe ô tô đậu trên lề thoải mái. giá bán 5.950 tỷ. nhà đang cho thuê 12tr/tháng. có thể chuyển giao hoặc chấm dứt hợp đồng thuê.",nhà,hướng đông bắc,,,gần biển,,,có,,,,,,mặt tiền,có,giá bán 5.950 tỷ,dtđ 125m2,,3pn,3 toilet,4 tầng,đường 7.5m
"bán nhà hẻm 2m5 địa chỉ 586/3 điện biên phủ, cách điện biên phủ chỉ 30m. ngay trung tâm quận thanh khê, gần coop mart dt 123m2, 4 tầng, dtsd 441m2, có thang máy, bao gồm 7 căn hộ, mỗi căn hộ 50m2 bao gồm 2pn, 2wc khép kín. đang cho thuê full, thu nhập 30 tr/tháng. tòa nhà có thang máy, dùng thẻ từ, chỉ có khách có thẻ mới sử dụng được. hướng đông bắc giá bán 5.35 tỷ. thương lượng nhẹ",nhà,hướng đông bắc,,,gần biển,,,,,,quận thanh khê,,,kiệt,,giá bán 5.35 tỷ,dt 123m2,,2pn,2wc,4 tầng,
"thanh khoản gấp trong tháng mặt phố phan đăng lưu quận hải châu tòa nhà 5 tầng lô góc sở hữu 2 mặt tiền đường dt đất 115m2 mặt tiền 25 m đang kinh doanh cafe và căn hộ hiệu suất 120 triệu/ 1 tháng khu vực trung tâm giá trị khai thác tăng trưởng cao. giá chào bán hấp dẫn 15,5 tỷ ( thương lượng mạnh ) pháp lý 1 chủ , giao dịch ngay liên hệ e ảnh",,,Pháp lý rõ ràng/ đầy đủ,,,,,,,,quận hải châu,,,mặt tiền,,"giá chào bán hấp dẫn 15,5 tỷ",dt đất 115m2,,,,5 tầng,
"thông tin mô tả bán biệt thự sân vườn mt đỗ nhuận, đà nẵng. vip biệt thự sân vườn xinh xắn. diện tích 231m2 (7.4/15.3 22m) 3 tầng. giá 8,4 tỷ tlcc. đường 5m5, lề 3m. sổ nở hậu lộc lá tài lộc. khu dân cư đông đúc, an sinh tuyệt vời, khu vực toàn nhà biệt thự, đi ô tô. nhà mới keng btct 3 tầng thiết kế hiện đại đầy đủ công năng, 3 pn ngủ khép kín, phòng khách, bếp, sân để ô tô, vườn hoa, hồ cá. hướng tây nam. ngân hàng hỗ trợ vay 6 tỷ.",biệt thự,hướng tây nam,,,,đông đúc,nở hậu,có,,,,,,mặt tiền,có,"giá 8,4 tỷ t",diện tích 231m2,,3 pn,,3 tầng,đường 5m5
"khu dân cư đông đúc, sát sông mát mẻ, tập trung nhiều căn hộ, nhà hàng thu hút khách du lịch đông đúc",,hướng đông,,,,đông đúc,,,,,,,,,,,,,,,,
"bánn nhà 3 tầng đẹp , đường 7,5 m diệp minh châu. khu đô thị sinh thái ven sông hoà xuân, cẩm lệ, đà nẵng. diện tích đất 101 m2, diện tích sử dụng 261 m2, hướng đông bắc. sân ô tô rộng rãi, phòng khách, bếp, phòng thờ, 3 phòng ngủ, 4 tolet, full nội thất cao cấp nhập khẩu từ italia.",nhà,hướng đông bắc,,Nội thất cao cấp,,,,có,,,quận cẩm lệ,,,,,,diện tích đất 101 m2,,3 phòng ngủ,,3 tầng,"đường 7,5 m"
"cần bán lô đất mặt tiền nguyễn lâm đường 7,5m, phường thọ quang, quận sơn trà, tpđn vị trí gần núi sơn trà, biển khí hậu mát mẻ dtđ 100m ( hướng tây bắc) giá bán 3 tỷ 990 có tl lh xem đất , thương lượng trực tiếp chủ",đất,hướng tây bắc,,,gần biển,,,,,,quận sơn trà,,,mặt tiền,,giá bán 3 tỷ 990,dtđ 100m,,,,,"đường 7,5m"
"bán lô đất 2mt hòa tiến, đường 7.5m liên xã. vị trí sáng đẹp, ngay đầu đường, dân cư đi lại đông đúc. tiện ở hoặc kinh doanh buôn bán. dt 5.3 x 28m sổ đỏ chính chủ. pháp lý rõ ràng. giá 1.5 tỷ tl khách thiện chí. anh chị có nhu cầu mua liên hệ em nha",đất,,Sổ đỏ,,,,,,,,,,,mặt tiền,,giá 1.5 tỷ t,,5.3 x 28m,,,,đường 7.5m
"bán biệt thự sân vườn mt 21, 23 đỗ nhuận, đà nẵng. vip biệt thự sân vườn xinh xắn và sân vườn rất rộng. diện tích khu viên 481m2 (16/25 22m) 3 tầng, bao gồm lô đất trống 250m2 số 21 và biệt thự 231m2 đất số 23. giá 16.6 tỷ tlcc. (có bán lẻ từng lô). đường 5m5, lề 3m. sổ nở hậu lộc lá tài lộc. khu dân cư đông đúc, an sinh tuyệt vời, khu vực toàn nhà biệt thự, đi ô tô. nhà mới keng btct 3 tầng thiết kế hiện đại đầy đủ công năng, 3 pn ngủ khép kín, phòng khách, bếp, sân để ô tô, vườn hoa, hồ cá. hướng tây nam. ngân hàng hỗ trợ vay 12 tỷ, 6 tỷ cho số 21 và 6 tỷ cho số 23.",biệt thự,hướng tây nam,,,,đông đúc,nở hậu,có,,,,,,mặt tiền,có,giá 16.6 tỷ t,diện tích khu viên 481m2,,3 pn,,3 tầng,đường 5m5
"đất sạch đẹp, đường 10m5, vị trí kinh doanh buôn bán sầm uất, gần sông mát mẻ. khu dân trí cao. an ninh. gần chợ,",đất,,,,,đông đúc,,,,,,,,,,,,,,,,đường 10m5
"bán gấp trả nợ lô 128m2 đường 7.5m hòa liên 3, giá thấp hơn thị trường nhìn ra kênh nước thoáng mát. giá rẻ hơn thị trường vì chủ muốn bán để trả bank. phù hợp ở và đầu tư",đất,,,,,,,,,,,,,,,,,,,,,đường 7.5m
"nắm chính chủ gởi bán nhà 3 tầng đường thanh lương 6 nhà cực kỳ đẹp hướng chính nam gần sông nhà full nội thất vào là ở không cần sửa thiết kế hiện đại , trẻ trung , cần khách thiện chí lh riêng giá 5tỷ6 ( nội thất xịn vào ở ngay ) điện thoại nắm chủ",nhà,hướng nam,Chính chủ,Nội thất cao cấp,,,,,,,,,,,,giá 5tỷ6,,,,,3 tầng,
"chính chủ bán nhà tâm huyết, thiết kế hiện đại, nội thất gỗ sịn cao cấp, sang trọng. nhà gần sông mát mẻ, ko khí trong lành, gần đường 10m5 mai chí thọ con đường kinh doanh buôn bán, tập trung nhiều công ty, showroom sầm uất. khu dân cư yên tĩnh, dân trí cao. hàng xóm thân thiện.",nhà,,Chính chủ,Nội thất đầy đủ,,đông đúc,,,,,,,,,,,,,,,,đường 10m5
"bán nhà 4 tầng, 3 mặt tiền đường hoá trung 1 hoà cường bắc quận hải châu đà nẵng nhà gồm 6 phòng ngủ, 5wc diện tích đất 119m2 diện tích sử dụng 364m2 hướng đông bắc khu vực cao ráo không lo ngập gần công viên châu á, đường 2/9 helio khu dân cư đông đúc, dân trí giá bán 7ty5 có thương lượng cho khách thiện chí ms an",nhà,hướng đông bắc,,,,đông đúc,,,,,quận hải châu,,,mặt tiền,,giá bán 7ty5,diện tích đất 119m2,,6 phòng ngủ,5wc,4 tầng,
"nhà cấp 4 có gác lững mặt tiền đường lê thị xuyến quận thanh khê đà nẵng diện tích 65,1m2 nhà gồm 2 phòng ngủ, 1wc vị trí gần đường thái thị bôi gần trường, gần chợ hướng tây bắc đường 3m75 lề 3m giá 5ty sổ đỏ đầy đủ bán đến cống chứng ms an.",nhà,hướng tây bắc,Sổ đỏ,,,,,,,,quận thanh khê,,,mặt tiền,có,giá 5ty,"diện tích 65,1m2",,2 phòng ngủ,1wc,,đường 3m75
"hạ giá bán nhanh vì chuyển ra mặt tiền. bán nhà 2 tầng kiệt ỷ lan nguyên phi, hoà cường bắc vị trí cách đường 100m, cách kiệt đậu ô tô chỉ 50m, tiện ích xung quanh không thiếu gì, đặc biệt gần chợ 200m, gần trường tiểu học 100m núi thành, gần trường tây sơn 800m, siêu thị, helio, vinmec đầy đủ. dtđ 65m2 (dtsd 130m2) gồm 3 phòng ngủ rộng , 2 tolet , sân phơi , phòng thờ phù hợp cho gia đình 7 8 người ở hướng đông mát mẻ gần trường tiểu học, trung học, chợ hoà cường, vinmec, quảng trường 2/9, giá chính chủ 2 tỷ 850 thương lượng. hỗ trợ vay, sổ đã gắn tài sản, chính chủ nhận cọc. giá rất phù hợp cho thời điểm hiện tại, năm 2021 giá 3.2 chưa bán. cảm ơn anh chị, liên hệ em sớm để xem nhà ạ.",nhà,hướng đông,Chính chủ,,,,,có,,,,,,kiệt,,giá bán nhanh vì chuyển ra mặt tiền. bán nhà 2 t,dtđ 65m2,7 8,3 phòng ngủ,,2 tầng,đường 100m
